Agency,Indicator,hour,sample_count
Environment Canterbury,TP,8,1602
Environment Canterbury,TP,9,2968
Environment Canterbury,TP,10,3794
Environment Canterbury,TP,11,3507
Environment Canterbury,TP,12,2949
Environment Canterbury,TP,13,1733
Environment Canterbury,TP,14,574
Environment Canterbury,TP,15,163
Environment Canterbury,TP,16,50
Environment Canterbury,TP,17,7
Environment Canterbury,TURB,6,25
Environment Canterbury,TURB,7,446
Environment Canterbury,TURB,8,1603
Environment Canterbury,TURB,9,2962
Environment Canterbury,TURB,10,3766
Environment Canterbury,TURB,11,3461
Environment Canterbury,TURB,12,2911
Environment Canterbury,TURB,13,1715
Environment Canterbury,TURB,14,572
Environment Canterbury,TURB,15,163
Environment Canterbury,TURB,16,50
Environment Canterbury,TURB,17,7
Environment Southland,BDISC,6,15
Environment Southland,BDISC,7,182
Environment Southland,BDISC,8,856
Environment Southland,BDISC,9,1719
Environment Southland,BDISC,10,2288
Environment Southland,BDISC,11,2397
Environment Southland,BDISC,12,1982
Environment Southland,BDISC,13,1407
Environment Southland,BDISC,14,550
Environment Southland,BDISC,15,85
Environment Southland,BDISC,16,2
Environment Southland,BDISC,17,1
Environment Southland,DIN,6,132
Environment Southland,DIN,7,448
Environment Southland,DIN,8,1414
Environment Southland,DIN,9,2499
Environment Southland,DIN,10,3115
Environment Southland,DIN,11,3011
Environment Southland,DIN,12,2329
Environment Southland,DIN,13,1548
Environment Southland,DIN,14,604
Environment Southland,DIN,15,98
Environment Southland,DIN,16,18
Environment Southland,DIN,17,45
Environment Southland,DIN,18,1
Environment Southland,DRP,6,15
Environment Southland,DRP,7,187
Environment Southland,DRP,8,905
Environment Southland,DRP,9,1854
Environment Southland,DRP,10,2460
Environment Southland,DRP,11,2561
Environment Southland,DRP,12,2162
Environment Southland,DRP,13,1493
Environment Southland,DRP,14,579
Environment Southland,DRP,15,88
Environment Southland,DRP,16,2
Environment Southland,DRP,17,2
Environment Southland,ECOLI,6,18
Environment Southland,ECOLI,7,199
Environment Southland,ECOLI,8,918
Environment Southland,ECOLI,9,1881
Environment Southland,ECOLI,10,2517
Environment Southland,ECOLI,11,2687
Environment Southland,ECOLI,12,2292
Environment Southland,ECOLI,13,1596
Environment Southland,ECOLI,14,625
Environment Southland,ECOLI,15,99
Environment Southland,ECOLI,16,2
Environment Southland,ECOLI,17,2
Environment Southland,NH4,6,18
Environment Southland,NH4,7,192
Environment Southland,NH4,8,907
Environment Southland,NH4,9,1857
Environment Southland,NH4,10,2461
Environment Southland,NH4,11,2563
Environment Southland,NH4,12,2165
Environment Southland,NH4,13,1494
Environment Southland,NH4,14,579
Environment Southland,NH4,15,88
Environment Southland,NH4,16,2
Environment Southland,NH4,17,2
Environment Southland,NO3N,6,1
Environment Southland,NO3N,7,73
Environment Southland,NO3N,8,376
Environment Southland,NO3N,9,891
Environment Southland,NO3N,10,1359
Environment Southland,NO3N,11,1500
Environment Southland,NO3N,12,1418
Environment Southland,NO3N,13,1137
Environment Southland,NO3N,14,483
Environment Southland,NO3N,15,73
Environment Southland,NO3N,16,2
Environment Southland,PH,6,18
Environment Southland,PH,7,192
Environment Southland,PH,8,908
Environment Southland,PH,9,1856
Environment Southland,PH,10,2460
Environment Southland,PH,11,2569
Environment Southland,PH,12,2166
Environment Southland,PH,13,1495
Environment Southland,PH,14,579
Environment Southland,PH,15,90
Environment Southland,PH,16,2
Environment Southland,PH,17,2
Environment Southland,TN,6,18
Environment Southland,TN,7,192
Environment Southland,TN,8,908
Environment Southland,TN,9,1855
Environment Southland,TN,10,2459
Environment Southland,TN,11,2562
Environment Southland,TN,12,2164
Environment Southland,TN,13,1494
Environment Southland,TN,14,579
Environment Southland,TN,15,88
Environment Southland,TN,16,2
Environment Southland,TN,17,2
Environment Southland,TON,6,18
Environment Southland,TON,7,192
Environment Southland,TON,8,907
Environment Southland,TON,9,1856
Environment Southland,TON,10,2461
Environment Southland,TON,11,2563
Environment Southland,TON,12,2166
Environment Southland,TON,13,1493
Environment Southland,TON,14,578
Environment Southland,TON,15,88
Environment Southland,TON,16,2
Environment Southland,TON,17,2
Environment Southland,TP,6,15
Environment Southland,TP,7,188
Environment Southland,TP,8,907
Environment Southland,TP,9,1854
Environment Southland,TP,10,2460
Environment Southland,TP,11,2563
Environment Southland,TP,12,2164
Environment Southland,TP,13,1494
Environment Southland,TP,14,579
Environment Southland,TP,15,88
Environment Southland,TP,16,2
Environment Southland,TP,17,2
Environment Southland,TURB,6,15
Environment Southland,TURB,7,184
Environment Southland,TURB,8,864
Environment Southland,TURB,9,1762
Environment Southland,TURB,10,2336
Environment Southland,TURB,11,2461
Environment Southland,TURB,12,2075
Environment Southland,TURB,13,1465
Environment Southland,TURB,14,574
Environment Southland,TURB,15,86
Environment Southland,TURB,16,2
Environment Southland,TURB,17,2
Gisborne District Council,BDISC,6,9
Gisborne District Council,BDISC,7,89
Gisborne District Council,BDISC,8,275
Gisborne District Council,BDISC,9,400
Gisborne District Council,BDISC,10,414
Gisborne District Council,BDISC,11,310
Gisborne District Council,BDISC,12,171
Gisborne District Council,BDISC,13,97
Gisborne District Council,BDISC,14,27
Gisborne District Council,BDISC,15,3
Gisborne District Council,DIN,6,10
Gisborne District Council,DIN,7,105
Gisborne District Council,DIN,8,407
Gisborne District Council,DIN,9,640
Gisborne District Council,DIN,10,640
Gisborne District Council,DIN,11,490
Gisborne District Council,DIN,12,295
Gisborne District Council,DIN,13,159
Gisborne District Council,DIN,14,53
Gisborne District Council,DIN,15,6
Gisborne District Council,DRP,6,78
Gisborne District Council,DRP,7,532
Gisborne District Council,DRP,8,1146
Gisborne District Council,DRP,9,1440
Gisborne District Council,DRP,10,1230
Gisborne District Council,DRP,11,833
Gisborne District Council,DRP,12,443
Gisborne District Council,DRP,13,190
Gisborne District Council,DRP,14,63
Gisborne District Council,DRP,15,9
Gisborne District Council,DRP,16,6
Gisborne District Council,DRP,17,4
Gisborne District Council,ECOLI,6,89
Gisborne District Council,ECOLI,7,608
Gisborne District Council,ECOLI,8,1355
Gisborne District Council,ECOLI,9,1707
Gisborne District Council,ECOLI,10,1339
Gisborne District Council,ECOLI,11,898
Gisborne District Council,ECOLI,12,484
Gisborne District Council,ECOLI,13,213
Gisborne District Council,ECOLI,14,69
Gisborne District Council,ECOLI,15,10
Gisborne District Council,ECOLI,16,5
Gisborne District Council,ECOLI,17,7
Gisborne District Council,NH4,6,82
Gisborne District Council,NH4,7,541
Gisborne District Council,NH4,8,1164
Gisborne District Council,NH4,9,1477
Gisborne District Council,NH4,10,1264
Gisborne District Council,NH4,11,857
Gisborne District Council,NH4,12,453
Gisborne District Council,NH4,13,192
Gisborne District Council,NH4,14,62
Gisborne District Council,NH4,15,9
Gisborne District Council,NH4,16,6
Gisborne District Council,NH4,17,5
Gisborne District Council,NO3N,6,36
Gisborne District Council,NO3N,7,393
Gisborne District Council,NO3N,8,969
Gisborne District Council,NO3N,9,1256
Gisborne District Council,NO3N,10,1094
Gisborne District Council,NO3N,11,702
Gisborne District Council,NO3N,12,391
Gisborne District Council,NO3N,13,188
Gisborne District Council,NO3N,14,61
Gisborne District Council,NO3N,15,9
Gisborne District Council,NO3N,16,6
Gisborne District Council,NO3N,17,2
Gisborne District Council,PH,6,86
Gisborne District Council,PH,7,604
Gisborne District Council,PH,8,1284
Gisborne District Council,PH,9,1557
Gisborne District Council,PH,10,1274
Gisborne District Council,PH,11,858
Gisborne District Council,PH,12,456
Gisborne District Council,PH,13,199
Gisborne District Council,PH,14,67
Gisborne District Council,PH,15,10
Gisborne District Council,PH,16,6
Gisborne District Council,PH,17,5
Gisborne District Council,TN,6,16
Gisborne District Council,TN,7,162
Gisborne District Council,TN,8,492
Gisborne District Council,TN,9,798
Gisborne District Council,TN,10,796
Gisborne District Council,TN,11,594
Gisborne District Council,TN,12,372
Gisborne District Council,TN,13,186
Gisborne District Council,TN,14,62
Gisborne District Council,TN,15,8
Gisborne District Council,TN,16,5
Gisborne District Council,TON,6,10
Gisborne District Council,TON,7,122
Gisborne District Council,TON,8,458
Gisborne District Council,TON,9,764
Gisborne District Council,TON,10,777
Gisborne District Council,TON,11,580
Gisborne District Council,TON,12,367
Gisborne District Council,TON,13,183
Gisborne District Council,TON,14,62
Gisborne District Council,TON,15,8
Gisborne District Council,TON,16,5
Gisborne District Council,TP,6,16
Gisborne District Council,TP,7,161
Gisborne District Council,TP,8,498
Gisborne District Council,TP,9,799
Gisborne District Council,TP,10,799
Gisborne District Council,TP,11,599
Gisborne District Council,TP,12,370
Gisborne District Council,TP,13,186
Gisborne District Council,TP,14,62
Gisborne District Council,TP,15,8
Gisborne District Council,TP,16,5
Gisborne District Council,TURB,6,87
Gisborne District Council,TURB,7,562
Gisborne District Council,TURB,8,1154
Gisborne District Council,TURB,9,1401
Gisborne District Council,TURB,10,1167
Gisborne District Council,TURB,11,777
Gisborne District Council,TURB,12,400
Gisborne District Council,TURB,13,168
Gisborne District Council,TURB,14,55
Gisborne District Council,TURB,15,8
Gisborne District Council,TURB,16,5
Gisborne District Council,TURB,17,6
Gisborne District Council,TURBFNU,6,9
Gisborne District Council,TURBFNU,7,75
Gisborne District Council,TURBFNU,8,194
Gisborne District Council,TURBFNU,9,313
Gisborne District Council,TURBFNU,10,319
Gisborne District Council,TURBFNU,11,235
Gisborne District Council,TURBFNU,12,138
Gisborne District Council,TURBFNU,13,68
Gisborne District Council,TURBFNU,14,21
Gisborne District Council,TURBFNU,15,1
Greater Wellington Regional Council,BDISC,6,2
Greater Wellington Regional Council,BDISC,7,33
Greater Wellington Regional Council,BDISC,8,945
Greater Wellington Regional Council,BDISC,9,1487
Greater Wellington Regional Council,BDISC,10,1585
Greater Wellington Regional Council,BDISC,11,1497
Greater Wellington Regional Council,BDISC,12,1326
Greater Wellington Regional Council,BDISC,13,1262
Greater Wellington Regional Council,BDISC,14,813
Greater Wellington Regional Council,BDISC,15,331
Greater Wellington Regional Council,BDISC,16,23
Greater Wellington Regional Council,BDISC,17,1
Greater Wellington Regional Council,DIN,6,2
Greater Wellington Regional Council,DIN,7,31
Greater Wellington Regional Council,DIN,8,945
Greater Wellington Regional Council,DIN,9,1481
Greater Wellington Regional Council,DIN,10,1586
Greater Wellington Regional Council,DIN,11,1506
Greater Wellington Regional Council,DIN,12,1324
Greater Wellington Regional Council,DIN,13,1256
Greater Wellington Regional Council,DIN,14,810
Greater Wellington Regional Council,DIN,15,328
Greater Wellington Regional Council,DIN,16,22
Greater Wellington Regional Council,DIN,17,1
Greater Wellington Regional Council,DRP,6,2
Greater Wellington Regional Council,DRP,7,31
Greater Wellington Regional Council,DRP,8,950
Greater Wellington Regional Council,DRP,9,1489
Greater Wellington Regional Council,DRP,10,1585
Greater Wellington Regional Council,DRP,11,1505
Greater Wellington Regional Council,DRP,12,1324
Greater Wellington Regional Council,DRP,13,1256
Greater Wellington Regional Council,DRP,14,811
Greater Wellington Regional Council,DRP,15,328
Greater Wellington Regional Council,DRP,16,22
Greater Wellington Regional Council,DRP,17,1
Greater Wellington Regional Council,ECOLI,6,2
Greater Wellington Regional Council,ECOLI,7,31
Greater Wellington Regional Council,ECOLI,8,948
Greater Wellington Regional Council,ECOLI,9,1487
Greater Wellington Regional Council,ECOLI,10,1584
Greater Wellington Regional Council,ECOLI,11,1505
Greater Wellington Regional Council,ECOLI,12,1324
Greater Wellington Regional Council,ECOLI,13,1254
Greater Wellington Regional Council,ECOLI,14,810
Greater Wellington Regional Council,ECOLI,15,328
Greater Wellington Regional Council,ECOLI,16,22
Greater Wellington Regional Council,ECOLI,17,1
Greater Wellington Regional Council,NH4,6,2
Greater Wellington Regional Council,NH4,7,31
Greater Wellington Regional Council,NH4,8,951
Greater Wellington Regional Council,NH4,9,1489
Greater Wellington Regional Council,NH4,10,1586
Greater Wellington Regional Council,NH4,11,1506
Greater Wellington Regional Council,NH4,12,1324
Greater Wellington Regional Council,NH4,13,1256
Greater Wellington Regional Council,NH4,14,810
Greater Wellington Regional Council,NH4,15,328
Greater Wellington Regional Council,NH4,16,22
Greater Wellington Regional Council,NH4,17,1
Greater Wellington Regional Council,NO3N,6,2
Greater Wellington Regional Council,NO3N,7,31
Greater Wellington Regional Council,NO3N,8,951
Greater Wellington Regional Council,NO3N,9,1487
Greater Wellington Regional Council,NO3N,10,1586
Greater Wellington Regional Council,NO3N,11,1506
Greater Wellington Regional Council,NO3N,12,1324
Greater Wellington Regional Council,NO3N,13,1256
Greater Wellington Regional Council,NO3N,14,811
Greater Wellington Regional Council,NO3N,15,328
Greater Wellington Regional Council,NO3N,16,22
Greater Wellington Regional Council,NO3N,17,1
Greater Wellington Regional Council,PH,6,2
Greater Wellington Regional Council,PH,7,31
Greater Wellington Regional Council,PH,8,949
Greater Wellington Regional Council,PH,9,1488
Greater Wellington Regional Council,PH,10,1585
Greater Wellington Regional Council,PH,11,1505
Greater Wellington Regional Council,PH,12,1323
Greater Wellington Regional Council,PH,13,1255
Greater Wellington Regional Council,PH,14,811
Greater Wellington Regional Council,PH,15,328
Greater Wellington Regional Council,PH,16,21
Greater Wellington Regional Council,PH,17,1
Greater Wellington Regional Council,TN,6,2
Greater Wellington Regional Council,TN,7,31
Greater Wellington Regional Council,TN,8,951
Greater Wellington Regional Council,TN,9,1489
Greater Wellington Regional Council,TN,10,1586
Greater Wellington Regional Council,TN,11,1507
Greater Wellington Regional Council,TN,12,1326
Greater Wellington Regional Council,TN,13,1257
Greater Wellington Regional Council,TN,14,811
Greater Wellington Regional Council,TN,15,329
Greater Wellington Regional Council,TN,16,22
Greater Wellington Regional Council,TN,17,1
Greater Wellington Regional Council,TON,6,2
Greater Wellington Regional Council,TON,7,31
Greater Wellington Regional Council,TON,8,950
Greater Wellington Regional Council,TON,9,1489
Greater Wellington Regional Council,TON,10,1586
Greater Wellington Regional Council,TON,11,1507
Greater Wellington Regional Council,TON,12,1325
Greater Wellington Regional Council,TON,13,1257
Greater Wellington Regional Council,TON,14,811
Greater Wellington Regional Council,TON,15,329
Greater Wellington Regional Council,TON,16,22
Greater Wellington Regional Council,TON,17,1
Greater Wellington Regional Council,TP,6,2
Greater Wellington Regional Council,TP,7,31
Greater Wellington Regional Council,TP,8,951
Greater Wellington Regional Council,TP,9,1489
Greater Wellington Regional Council,TP,10,1586
Greater Wellington Regional Council,TP,11,1507
Greater Wellington Regional Council,TP,12,1326
Greater Wellington Regional Council,TP,13,1257
Greater Wellington Regional Council,TP,14,811
Greater Wellington Regional Council,TP,15,329
Greater Wellington Regional Council,TP,16,22
Greater Wellington Regional Council,TP,17,1
Greater Wellington Regional Council,TURB,6,19
Greater Wellington Regional Council,TURB,7,58
Greater Wellington Regional Council,TURB,8,981
Greater Wellington Regional Council,TURB,9,1515
Greater Wellington Regional Council,TURB,10,1617
Greater Wellington Regional Council,TURB,11,1554
Greater Wellington Regional Council,TURB,12,1360
Greater Wellington Regional Council,TURB,13,1286
Greater Wellington Regional Council,TURB,14,829
Greater Wellington Regional Council,TURB,15,348
Greater Wellington Regional Council,TURB,16,31
Greater Wellington Regional Council,TURB,17,11
Greater Wellington Regional Council,TURB,18,5
Hawkes Bay Regional Council,BDISC,6,26
Hawkes Bay Regional Council,BDISC,7,185
Hawkes Bay Regional Council,BDISC,8,627
Hawkes Bay Regional Council,BDISC,9,1378
Hawkes Bay Regional Council,BDISC,10,1892
Hawkes Bay Regional Council,BDISC,11,1686
Hawkes Bay Regional Council,BDISC,12,1462
Hawkes Bay Regional Council,BDISC,13,1248
Hawkes Bay Regional Council,BDISC,14,822
Hawkes Bay Regional Council,BDISC,15,432
Hawkes Bay Regional Council,BDISC,16,141
Hawkes Bay Regional Council,BDISC,17,33
Hawkes Bay Regional Council,BDISC,18,1
Hawkes Bay Regional Council,DIN,6,25
Hawkes Bay Regional Council,DIN,7,195
Hawkes Bay Regional Council,DIN,8,687
Hawkes Bay Regional Council,DIN,9,1526
Hawkes Bay Regional Council,DIN,10,2102
Hawkes Bay Regional Council,DIN,11,1912
Hawkes Bay Regional Council,DIN,12,1684
Hawkes Bay Regional Council,DIN,13,1479
Hawkes Bay Regional Council,DIN,14,998
Hawkes Bay Regional Council,DIN,15,511
Hawkes Bay Regional Council,DIN,16,160
Hawkes Bay Regional Council,DIN,17,41
Hawkes Bay Regional Council,DIN,18,1
Hawkes Bay Regional Council,DRP,6,27
Hawkes Bay Regional Council,DRP,7,213
Hawkes Bay Regional Council,DRP,8,726
Hawkes Bay Regional Council,DRP,9,1594
Hawkes Bay Regional Council,DRP,10,2176
Hawkes Bay Regional Council,DRP,11,1963
Hawkes Bay Regional Council,DRP,12,1734
Hawkes Bay Regional Council,DRP,13,1530
Hawkes Bay Regional Council,DRP,14,1034
Hawkes Bay Regional Council,DRP,15,530
Hawkes Bay Regional Council,DRP,16,163
Hawkes Bay Regional Council,DRP,17,41
Hawkes Bay Regional Council,DRP,18,1
Hawkes Bay Regional Council,ECOLI,6,25
Hawkes Bay Regional Council,ECOLI,7,176
Hawkes Bay Regional Council,ECOLI,8,655
Hawkes Bay Regional Council,ECOLI,9,1448
Hawkes Bay Regional Council,ECOLI,10,2047
Hawkes Bay Regional Council,ECOLI,11,1883
Hawkes Bay Regional Council,ECOLI,12,1721
Hawkes Bay Regional Council,ECOLI,13,1513
Hawkes Bay Regional Council,ECOLI,14,1016
Hawkes Bay Regional Council,ECOLI,15,510
Hawkes Bay Regional Council,ECOLI,16,160
Hawkes Bay Regional Council,ECOLI,17,39
Hawkes Bay Regional Council,ECOLI,18,1
Hawkes Bay Regional Council,NH4,6,27
Hawkes Bay Regional Council,NH4,7,216
Hawkes Bay Regional Council,NH4,8,732
Hawkes Bay Regional Council,NH4,9,1611
Hawkes Bay Regional Council,NH4,10,2192
Hawkes Bay Regional Council,NH4,11,1978
Hawkes Bay Regional Council,NH4,12,1747
Hawkes Bay Regional Council,NH4,13,1532
Hawkes Bay Regional Council,NH4,14,1035
Hawkes Bay Regional Council,NH4,15,533
Hawkes Bay Regional Council,NH4,16,164
Hawkes Bay Regional Council,NH4,17,41
Hawkes Bay Regional Council,NH4,18,1
Hawkes Bay Regional Council,NO3N,6,27
Hawkes Bay Regional Council,NO3N,7,211
Hawkes Bay Regional Council,NO3N,8,726
Hawkes Bay Regional Council,NO3N,9,1607
Hawkes Bay Regional Council,NO3N,10,2188
Hawkes Bay Regional Council,NO3N,11,1975
Hawkes Bay Regional Council,NO3N,12,1741
Hawkes Bay Regional Council,NO3N,13,1532
Hawkes Bay Regional Council,NO3N,14,1034
Hawkes Bay Regional Council,NO3N,15,530
Hawkes Bay Regional Council,NO3N,16,164
Hawkes Bay Regional Council,NO3N,17,41
Hawkes Bay Regional Council,NO3N,18,1
Hawkes Bay Regional Council,PH,6,27
Hawkes Bay Regional Council,PH,7,215
Hawkes Bay Regional Council,PH,8,707
Hawkes Bay Regional Council,PH,9,1564
Hawkes Bay Regional Council,PH,10,2144
Hawkes Bay Regional Council,PH,11,1924
Hawkes Bay Regional Council,PH,12,1702
Hawkes Bay Regional Council,PH,13,1487
Hawkes Bay Regional Council,PH,14,994
Hawkes Bay Regional Council,PH,15,508
Hawkes Bay Regional Council,PH,16,157
Hawkes Bay Regional Council,PH,17,39
Hawkes Bay Regional Council,PH,18,1
Hawkes Bay Regional Council,TN,6,26
Hawkes Bay Regional Council,TN,7,216
Hawkes Bay Regional Council,TN,8,731
Hawkes Bay Regional Council,TN,9,1610
Hawkes Bay Regional Council,TN,10,2191
Hawkes Bay Regional Council,TN,11,1978
Hawkes Bay Regional Council,TN,12,1745
Hawkes Bay Regional Council,TN,13,1534
Hawkes Bay Regional Council,TN,14,1037
Hawkes Bay Regional Council,TN,15,533
Hawkes Bay Regional Council,TN,16,164
Hawkes Bay Regional Council,TN,17,41
Hawkes Bay Regional Council,TN,18,1
Hawkes Bay Regional Council,TON,6,27
Hawkes Bay Regional Council,TON,7,216
Hawkes Bay Regional Council,TON,8,731
Hawkes Bay Regional Council,TON,9,1610
Hawkes Bay Regional Council,TON,10,2191
Hawkes Bay Regional Council,TON,11,1979
Hawkes Bay Regional Council,TON,12,1745
Hawkes Bay Regional Council,TON,13,1536
Hawkes Bay Regional Council,TON,14,1037
Hawkes Bay Regional Council,TON,15,533
Hawkes Bay Regional Council,TON,16,164
Hawkes Bay Regional Council,TON,17,41
Hawkes Bay Regional Council,TON,18,1
Hawkes Bay Regional Council,TP,6,26
Hawkes Bay Regional Council,TP,7,215
Hawkes Bay Regional Council,TP,8,729
Hawkes Bay Regional Council,TP,9,1600
Hawkes Bay Regional Council,TP,10,2183
Hawkes Bay Regional Council,TP,11,1972
Hawkes Bay Regional Council,TP,12,1740
Hawkes Bay Regional Council,TP,13,1533
Hawkes Bay Regional Council,TP,14,1035
Hawkes Bay Regional Council,TP,15,530
Hawkes Bay Regional Council,TP,16,163
Hawkes Bay Regional Council,TP,17,41
Hawkes Bay Regional Council,TP,18,1
Hawkes Bay Regional Council,TURB,6,21
Hawkes Bay Regional Council,TURB,7,132
Hawkes Bay Regional Council,TURB,8,451
Hawkes Bay Regional Council,TURB,9,956
Hawkes Bay Regional Council,TURB,10,1348
Hawkes Bay Regional Council,TURB,11,1217
Hawkes Bay Regional Council,TURB,12,1173
Hawkes Bay Regional Council,TURB,13,1097
Hawkes Bay Regional Council,TURB,14,716
Hawkes Bay Regional Council,TURB,15,406
Hawkes Bay Regional Council,TURB,16,140
Hawkes Bay Regional Council,TURB,17,39
Hawkes Bay Regional Council,TURB,18,1
Hawkes Bay Regional Council,TURBFNU,6,11
Hawkes Bay Regional Council,TURBFNU,7,92
Hawkes Bay Regional Council,TURBFNU,8,296
Hawkes Bay Regional Council,TURBFNU,9,660
Hawkes Bay Regional Council,TURBFNU,10,893
Hawkes Bay Regional Council,TURBFNU,11,809
Hawkes Bay Regional Council,TURBFNU,12,665
Hawkes Bay Regional Council,TURBFNU,13,515
Hawkes Bay Regional Council,TURBFNU,14,315
Hawkes Bay Regional Council,TURBFNU,15,102
Hawkes Bay Regional Council,TURBFNU,16,10
Hawkes Bay Regional Council,TURBFNU,17,1
Horizons Regional Council,BDISC,6,29
Horizons Regional Council,BDISC,7,225
Horizons Regional Council,BDISC,8,1082
Horizons Regional Council,BDISC,9,2375
Horizons Regional Council,BDISC,10,3267
Horizons Regional Council,BDISC,11,3327
Horizons Regional Council,BDISC,12,2764
Horizons Regional Council,BDISC,13,2059
Horizons Regional Council,BDISC,14,1174
Horizons Regional Council,BDISC,15,342
Horizons Regional Council,BDISC,16,77
Horizons Regional Council,BDISC,17,16
Horizons Regional Council,BDISC,18,3
Horizons Regional Council,DIN,6,35
Horizons Regional Council,DIN,7,270
Horizons Regional Council,DIN,8,1400
Horizons Regional Council,DIN,9,3266
Horizons Regional Council,DIN,10,4359
Horizons Regional Council,DIN,11,4330
Horizons Regional Council,DIN,12,3672
Horizons Regional Council,DIN,13,2794
Horizons Regional Council,DIN,14,1536
Horizons Regional Council,DIN,15,422
Horizons Regional Council,DIN,16,91
Horizons Regional Council,DIN,17,20
Horizons Regional Council,DIN,18,6
Horizons Regional Council,DRP,6,35
Horizons Regional Council,DRP,7,270
Horizons Regional Council,DRP,8,1408
Horizons Regional Council,DRP,9,3277
Horizons Regional Council,DRP,10,4361
Horizons Regional Council,DRP,11,4328
Horizons Regional Council,DRP,12,3675
Horizons Regional Council,DRP,13,2794
Horizons Regional Council,DRP,14,1534
Horizons Regional Council,DRP,15,422
Horizons Regional Council,DRP,16,91
Horizons Regional Council,DRP,17,20
Horizons Regional Council,DRP,18,6
Horizons Regional Council,ECOLI,6,33
Horizons Regional Council,ECOLI,7,268
Horizons Regional Council,ECOLI,8,1363
Horizons Regional Council,ECOLI,9,3187
Horizons Regional Council,ECOLI,10,4301
Horizons Regional Council,ECOLI,11,4292
Horizons Regional Council,ECOLI,12,3615
Horizons Regional Council,ECOLI,13,2756
Horizons Regional Council,ECOLI,14,1529
Horizons Regional Council,ECOLI,15,420
Horizons Regional Council,ECOLI,16,89
Horizons Regional Council,ECOLI,17,20
Horizons Regional Council,ECOLI,18,6
Horizons Regional Council,NH4,6,35
Horizons Regional Council,NH4,7,269
Horizons Regional Council,NH4,8,1406
Horizons Regional Council,NH4,9,3272
Horizons Regional Council,NH4,10,4357
Horizons Regional Council,NH4,11,4327
Horizons Regional Council,NH4,12,3671
Horizons Regional Council,NH4,13,2793
Horizons Regional Council,NH4,14,1533
Horizons Regional Council,NH4,15,422
Horizons Regional Council,NH4,16,91
Horizons Regional Council,NH4,17,20
Horizons Regional Council,NH4,18,6
Horizons Regional Council,NO3N,6,35
Horizons Regional Council,NO3N,7,249
Horizons Regional Council,NO3N,8,1313
Horizons Regional Council,NO3N,9,3076
Horizons Regional Council,NO3N,10,4081
Horizons Regional Council,NO3N,11,4048
Horizons Regional Council,NO3N,12,3439
Horizons Regional Council,NO3N,13,2595
Horizons Regional Council,NO3N,14,1395
Horizons Regional Council,NO3N,15,376
Horizons Regional Council,NO3N,16,76
Horizons Regional Council,NO3N,17,20
Horizons Regional Council,NO3N,18,6
Horizons Regional Council,PH,6,35
Horizons Regional Council,PH,7,265
Horizons Regional Council,PH,8,1344
Horizons Regional Council,PH,9,3105
Horizons Regional Council,PH,10,4121
Horizons Regional Council,PH,11,4104
Horizons Regional Council,PH,12,3494
Horizons Regional Council,PH,13,2649
Horizons Regional Council,PH,14,1416
Horizons Regional Council,PH,15,383
Horizons Regional Council,PH,16,75
Horizons Regional Council,PH,17,19
Horizons Regional Council,PH,18,5
Horizons Regional Council,TN,6,35
Horizons Regional Council,TN,7,267
Horizons Regional Council,TN,8,1367
Horizons Regional Council,TN,9,3147
Horizons Regional Council,TN,10,4175
Horizons Regional Council,TN,11,4186
Horizons Regional Council,TN,12,3570
Horizons Regional Council,TN,13,2709
Horizons Regional Council,TN,14,1470
Horizons Regional Council,TN,15,397
Horizons Regional Council,TN,16,84
Horizons Regional Council,TN,17,20
Horizons Regional Council,TN,18,6
Horizons Regional Council,TON,6,35
Horizons Regional Council,TON,7,269
Horizons Regional Council,TON,8,1408
Horizons Regional Council,TON,9,3283
Horizons Regional Council,TON,10,4360
Horizons Regional Council,TON,11,4332
Horizons Regional Council,TON,12,3682
Horizons Regional Council,TON,13,2802
Horizons Regional Council,TON,14,1534
Horizons Regional Council,TON,15,422
Horizons Regional Council,TON,16,91
Horizons Regional Council,TON,17,20
Horizons Regional Council,TON,18,6
Horizons Regional Council,TP,6,35
Horizons Regional Council,TP,7,268
Horizons Regional Council,TP,8,1367
Horizons Regional Council,TP,9,3157
Horizons Regional Council,TP,10,4195
Horizons Regional Council,TP,11,4207
Horizons Regional Council,TP,12,3570
Horizons Regional Council,TP,13,2711
Horizons Regional Council,TP,14,1473
Horizons Regional Council,TP,15,397
Horizons Regional Council,TP,16,84
Horizons Regional Council,TP,17,20
Horizons Regional Council,TP,18,6
Horizons Regional Council,TURB,6,34
Horizons Regional Council,TURB,7,267
Horizons Regional Council,TURB,8,1358
Horizons Regional Council,TURB,9,3158
Horizons Regional Council,TURB,10,4265
Horizons Regional Council,TURB,11,4258
Horizons Regional Council,TURB,12,3567
Horizons Regional Council,TURB,13,2692
Horizons Regional Council,TURB,14,1510
Horizons Regional Council,TURB,15,415
Horizons Regional Council,TURB,16,90
Horizons Regional Council,TURB,17,20
Horizons Regional Council,TURB,18,6
Horizons Regional Council,TURBFNU,7,17
Horizons Regional Council,TURBFNU,8,115
Horizons Regional Council,TURBFNU,9,222
Horizons Regional Council,TURBFNU,10,310
Horizons Regional Council,TURBFNU,11,294
Horizons Regional Council,TURBFNU,12,274
Horizons Regional Council,TURBFNU,13,208
Horizons Regional Council,TURBFNU,14,108
Horizons Regional Council,TURBFNU,15,25
Horizons Regional Council,TURBFNU,16,4
