Agency,Indicator,hour,sample_count
NIWA,TON,16,71
NIWA,TON,17,16
NIWA,TON,18,1
NIWA,TP,6,41
NIWA,TP,7,138
NIWA,TP,8,1213
NIWA,TP,9,1895
NIWA,TP,10,1504
NIWA,TP,11,1762
NIWA,TP,12,1390
NIWA,TP,13,1929
NIWA,TP,14,1635
NIWA,TP,15,716
NIWA,TP,16,71
NIWA,TP,17,16
NIWA,TP,18,1
NIWA,TURB,6,41
NIWA,TURB,7,138
NIWA,TURB,8,1213
NIWA,TURB,9,1895
NIWA,TURB,10,1504
NIWA,TURB,11,1762
NIWA,TURB,12,1390
NIWA,TURB,13,1929
NIWA,TURB,14,1635
NIWA,TURB,15,716
NIWA,TURB,16,71
NIWA,TURB,17,16
NIWA,TURB,18,1
Nelson City Council,BDISC,7,15
Nelson City Council,BDISC,8,285
Nelson City Council,BDISC,9,460
Nelson City Council,BDISC,10,572
Nelson City Council,BDISC,11,537
Nelson City Council,BDISC,12,419
Nelson City Council,BDISC,13,368
Nelson City Council,BDISC,14,294
Nelson City Council,BDISC,15,122
Nelson City Council,BDISC,16,43
Nelson City Council,BDISC,17,15
Nelson City Council,BDISC,18,5
Nelson City Council,DIN,7,9
Nelson City Council,DIN,8,177
Nelson City Council,DIN,9,255
Nelson City Council,DIN,10,280
Nelson City Council,DIN,11,254
Nelson City Council,DIN,12,199
Nelson City Council,DIN,13,182
Nelson City Council,DIN,14,125
Nelson City Council,DIN,15,23
Nelson City Council,DRP,7,15
Nelson City Council,DRP,8,297
Nelson City Council,DRP,9,475
Nelson City Council,DRP,10,591
Nelson City Council,DRP,11,563
Nelson City Council,DRP,12,436
Nelson City Council,DRP,13,390
Nelson City Council,DRP,14,303
Nelson City Council,DRP,15,127
Nelson City Council,DRP,16,47
Nelson City Council,DRP,17,15
Nelson City Council,DRP,18,5
Nelson City Council,ECOLI,7,15
Nelson City Council,ECOLI,8,290
Nelson City Council,ECOLI,9,468
Nelson City Council,ECOLI,10,587
Nelson City Council,ECOLI,11,555
Nelson City Council,ECOLI,12,433
Nelson City Council,ECOLI,13,384
Nelson City Council,ECOLI,14,301
Nelson City Council,ECOLI,15,126
Nelson City Council,ECOLI,16,47
Nelson City Council,ECOLI,17,15
Nelson City Council,ECOLI,18,5
Nelson City Council,NH4,7,15
Nelson City Council,NH4,8,294
Nelson City Council,NH4,9,471
Nelson City Council,NH4,10,588
Nelson City Council,NH4,11,560
Nelson City Council,NH4,12,434
Nelson City Council,NH4,13,387
Nelson City Council,NH4,14,298
Nelson City Council,NH4,15,125
Nelson City Council,NH4,16,47
Nelson City Council,NH4,17,15
Nelson City Council,NH4,18,5
Nelson City Council,NO3N,7,16
Nelson City Council,NO3N,8,295
Nelson City Council,NO3N,9,472
Nelson City Council,NO3N,10,590
Nelson City Council,NO3N,11,560
Nelson City Council,NO3N,12,435
Nelson City Council,NO3N,13,387
Nelson City Council,NO3N,14,299
