LFENZID,nzsegment
8925,14242029
53392,14242268
53392,14242269
53145,14242719
53145,14242720
7660,14245222
7660,14245223
7640,14245605
7640,14245606
7657,14247798
7657,14247799
8890,14247353
8890,14247495
7605,14250513
7605,14250642
7604,14250642
7633,14253201
7633,14253705
7113,14254314
7113,14255046
5232,14255744
5264,14256285
5264,14256286
11914,14256975
6396,14258915
6396,14258916
1553,14259135
1553,14259304
6394,14259411
6394,14259431
45123,14270772
45123,14270773
45048,14270880
45230,14272013
45230,14272034
45250,14276555
45250,14276735
45155,14276929
45155,14276994
45153,14279048
45153,14279122
45246,14279853
44503,14282611
45151,14283073
45151,14283213
44389,14283699
44574,14283888
44570,14284422
44570,14284689
44565,14286726
44677,14287335
44694,14289090
44694,14289743
44689,14289686
44689,14290011
44405,14291165
44391,14292022
44391,14292023
44380,14299196
44361,14302257
44364,14303560
44364,14303561
44353,14303697
44610,14304229
44355,14304647
44355,14304648
44248,14306974
44599,14306924
44599,14306986
36025,14309955
36025,14309999
36046,14316745
36046,14316765
53006,15208672
53006,15208936
52992,15211049
52990,15212102
52998,15211356
52998,15212083
53872,15212338
53872,15212358
53872,15212778
53868,15212743
53868,15212811
52931,15214405
52928,15215067
52928,15215238
52927,15214460
52927,15215271
53851,15215148
53851,15215329
52936,15216229
52954,15216496
52954,15216521
52924,15216740
52924,15216884
52940,15217907
52940,15218049
50657,15218878
50646,15219317
50635,15219940
50651,15219848
50651,15220068
52833,15221522
52789,15222134
52789,15222135
53476,15222398
52770,15222966
52770,15223083
52740,15224832
52740,15224870
52642,15227688
52642,15227718
52731,15227379
52731,15227548
53412,15228019
53412,15228031
52641,15229085
52641,15229086
52669,15229277
52617,15229727
52617,15229788
52660,15230240
52660,15230439
52684,15230750
52684,15230771
52666,15230721
52666,15230792
52613,15231743
52613,15231830
52647,15232422
52647,15232555
52650,15232933
52596,15233667
52652,15233989
52652,15234420
53401,15233956
53401,15235020
52585,15235036
52585,15235116
52434,15235955
52434,15236134
52429,15236821
52576,15237489
52422,15239006
52422,15239458
46047,15239773
46047,15240029
52416,15239476
52416,15239632
52322,15240425
52407,15240742
52407,15240867
52411,15240961
52411,15240986
46043,15241167
46043,15241287
52410,15241169
52410,15241541
53353,15242207
53353,15242227
46051,15242041
46051,15242322
52399,15242943
52399,15243070
52397,15243298
52397,15243527
53149,15244172
53149,15244219
52532,15244355
52532,15244621
52400,15244790
52475,15244793
52393,15244978
52393,15245121
52269,15244937
52269,15245047
53338,15244901
53338,15245031
52508,15245239
53370,15245388
52507,15245499
52507,15245670
52268,15245255
52268,15245749
52538,15245385
52538,15245751
52389,15245971
52389,15245991
52190,15246214
52190,15246858
52382,15246901
52380,15246819
52380,15247043
52181,15248355
52181,15248610
52370,15249617
52386,15249549
52386,15249596
52384,15249821
52384,15249844
52177,15249334
52177,15249595
52472,15250119
52080,15251218
53262,15251490
53262,15251533
51926,15251364
51926,15251415
51985,15251761
51985,15251975
53315,15252941
53315,15253134
53216,15253387
51892,15253693
51892,15253878
53306,15254177
51912,15254149
51912,15254336
51978,15254858
53300,15254376
53300,15254741
51972,15254960
51972,15255138
53304,15253906
53304,15254742
52566,15255986
52566,15256067
52117,15256249
52117,15256392
52115,15257336
52115,15257631
51793,15257121
51793,15257302
51974,15258561
51850,15259384
52059,15259072
52059,15259311
51845,15260536
51845,15260629
51940,15262823
51940,15262824
51822,15263654
51822,15263692
51945,15264071
51945,15264392
54735,15265489
54735,15265947
51954,15266457
51954,15266498
51927,15266958
29891,15268334
29891,15268353
29883,15268915
29883,15268992
29858,15268957
29858,15269196
30380,15269962
30380,15269963
29821,15270975
29821,15271236
29814,15272037
30346,15272495
30345,15272839
30345,15272899
30344,15273424
30344,15273562
29790,15273001
29790,15273401
29829,15273607
29831,15273628
29831,15273649
30017,15274185
30017,15274367
29724,15274500
29724,15274803
29688,15275593
29688,15275594
29679,15276262
29679,15276812
29681,15277434
29681,15277525
29956,15278092
29956,15278093
29962,15277742
29962,15278070
29669,15278892
29669,15279014
29907,15280336
29907,15280337
29917,15280640
29917,15280709
29895,15281076
29895,15281094
29938,15281027
29938,15281384
29250,15282434
29250,15282975
29254,15283874
29254,15283972
29244,15284721
29244,15284960
29253,15285543
29253,15285575
29095,15286397
29095,15286663
29104,15287423
29104,15287465
31271,15290838
29232,15296061
29232,15296213
28582,15312868
28577,15313958
28577,15314019
28550,15314482
28550,15314520
28543,15315293
28543,15315294
30803,15317221
30803,15317272
30555,15319609
30970,15320080
30970,15320081
43649,15320114
43649,15320115
30958,15320255
43668,15320620
43668,15320627
